Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Bzi16YAeYuU,윈디캠프 청년대변인 지원자 전격 공개‼️ | 김동연TV,"Nov 11, 2021",8,0.2401,0,102,6.86
CE_DGHcW5YU,김동연이 여・야당의 러브콜을 모두 마다한 이유,"Oct 6, 2021",1,0.015,0,7,14.29
CKaFVccffGM,[맞짱토크 2화 하이라이트]  정치개혁과 권력구조 개혁,"Dec 23, 2021",1,0.0316,0,77,1.3
Cydg0N0U9UA,[현장스케치]아동복지 토론회,"Dec 28, 2021",15,0.2683,0,333,3.3
D-0uuPSN6mY,김동연과 가장 케미가 맞았던 대통령은? 이명박? 박근혜? 문재인?,"Oct 8, 2021",48,0.5246,0,24,4.17
DtmjjQeiAbI,맞는 말 #Shorts,"Dec 5, 2021",2,0.008,0,20,0
EUiCa4GkhB4,김동연이 청년들에게 진심인 이유,"Nov 20, 2021",24,1.4787,0,310,6.13
F08t3QLYD8o,"소상공인 지원, 정치인부터 허리띠 졸라맵시다.","Jan 23, 2022",79,0.7042,0,839,2.26
FKptcSIm5rQ,"김동연, 문재인정부 항명파동 “지금 대통령에게 항명합니까?”","Jan 9, 2022",51,2.5982,0,316,12.66
FtEFapMQlyU,"도둑맞은 슬로건, 판단은 여러분께 맡기겠습니다 #short","Nov 6, 2021",4,0.0266,0,16,0
FzaZ82mqGI0,1호 공약으로 공무원 5급 행시를 폐지 하겠다고 한 이유,"Oct 27, 2021",20,0.2625,0,57,10.53
G4TeihMIcAc,추위에 떨던 유기견 '물결이' 분양,"Jan 18, 2022",92,0.4856,0,599,2.34
HD6UVp0ucQc,선전포고 #Shorts,"Dec 5, 2021",3,0.0189,0,20,0
HE5EEWwVl3k,"환경을 지키는 어린이들과 함께한 '괜찮아, 지구야' 캠페인 | 김동연TV","Nov 16, 2021",3,0.0315,0,26,0
HIXiFK_OICc,"[2호 공약 발표] 수도권 공화국 대한민국, 해결할 수 있을까요? | 김동연의 미보라 4화 | 김동연TV","Nov 14, 2021",1,0.2155,0,23,0
HJ14p89uAPs,"1호공약 브리핑 셋째 관피아, 공피아, 사법계의 전관예우를 없애겠습니다","Nov 8, 2021",4,0.0384,0,10,10
HMMgn94y56A,"""붕어빵 틀에 밀가루 부어봐야 붕어빵"" | CBS 한판승부 하이라이트 | 김동연TV","Oct 15, 2021",2,0.0108,0,36,2.78
HSWOF7KtWEY,"기후변화는 미래 3대 도전과제, 말이 아닌 실천으로","Jan 26, 2022",22,0.2577,0,363,5.23
IERfxK3smoU,오징어게임 달고나 장인이 김동연을 응원하는 이유,"Nov 9, 2021",3,0.1127,0,36,8.33
IW6lyWBHcRw,"""김동연의 골든타임이 곧 올것이다"" | JTBC 썰전라이브 하이라이트 | 김동연tv","Sep 24, 2021",1,0.0178,0,15,6.67
IpuSH-95_iw,"대통령 선거 제3지대 10년 주기설, 이번에는...? #shorts","Nov 15, 2021",9,0.0602,0,16,0
JJWuhNHOW0k,[맞짱토크 하이라이트] 대한민국 금기깨기,"Dec 21, 2021",2,0.0324,0,69,1.45
JL9eDA-aN2M,결혼이야기 EP 2. 그림엽서편 - 김동연의 애심,"Dec 27, 2021",16,0.4246,0,160,6.88
JRfB7wdFAK4,"새로운 대한민국, 새로운 물결을 만드는 김동연 연설","Nov 2, 2021",5,0.0389,0,8,25
JtOehZHtXus,"""메타버스는 신대륙"" - 코인플러그와 이야기를 나누었습니다 (feat. 국내 1위 블록체인 기업)","Jan 14, 2022",9,0.3928,0,167,3.59
KVBl6ypMRkg,삼성디스플레이 2030세대 직원들을 만난 김동연 후보,"Jan 19, 2022",14,0.3288,0,285,3.86
KVhgi1EB_7k,"[하이라이트] 김동연 제 20대 대통령선거 출마 선언 | 새로운 10년, 조용한 혁명","Sep 11, 2021",13,0.2846,0,26,7.69
KygoMgAOZBM,[신년사] 2022년 새해가 밝았습니다. 새해 복 많이 받으세요,"Dec 31, 2021",8,0.0466,0,188,2.66
L4XrMyA9yE4,김동연이 공무원 개혁을 해야한다고 말하는 이유,"Oct 26, 2021",9,0.0635,0,8,12.5
L68pJuZlWqM,"김동연 대통령후보, “대한민국, 중소기업 중심체제로의 전환” - 중소기업중앙회 신년사","Jan 6, 2022",2,0.0036,0,109,0.92
MwiAbN8UmTU,2030세대를 이해한다구요? 솔직해집시다 기성세대 여러분 #Shorts,"Nov 22, 2021",12,0.0724,0,27,18.52
NoCqFK_SasQ,김동연이 진단하는 대한민국의 현재는? #Shorts,"Aug 9, 2021",8,0.0684,0,5,0
O4XnGTQkU7c,김동연 대선 4호 공약 : 28 대 1 부동산 1호 대책 - 세제 개편 | 김동연TV,"Nov 26, 2021",6,0.3371,0,456,1.1
O7Cw6X__5Vw,"김동연 지지율, 새로운물결 성공 가능성? | KBS 디라이브 하이라이트 | 김동연TV","Nov 20, 2021",8,0.4429,0,298,2.01
OkXjeKso1hE,"“김종인과 조찬회동, 어떤 이야기 나눴나” | MBC 뉴스외전 줌인 하이라이트 | 김동연TV","Oct 13, 2021",1,0.1452,0,13,7.69
PPGfm_GIckQ,홍대에서 청년예술가를 만나고 왔습니다,"Jan 12, 2022",3,0.0541,0,147,0.68
QaatVYbXGGw,[김동연의 V-LOG] #1 100분토론 비하인드스토리,"Dec 13, 2021",4,0.0451,0,52,5.77
R9zMYMWpkzQ,"[수어통역버전] 김동연 제 20대 대통령선거 출마 선언 | 새로운 10년, 조용한 혁명 [4K]","Sep 8, 2021",1,0.0038,0,22,4.55
RBHjaUQ-pkk,미래당 오태양 대표의 김동연 후보 지지선언! (새로운물결 X 미래당),"Jan 6, 2022",7,0.1539,0,206,1.94
RceFGHITxgU,싹쓸이 #Shorts,"Dec 6, 2021",6,0.0105,0,22,4.55
RmQ8TcLXTQ4,"김동연의 1호 공약 브리핑 첫째, 공무원 철밥통 깨기 #shorts","Nov 5, 2021",4,0.0397,0,8,0
RvQCqMgxbpg,김동연 어디서 많이 들어본 말인데.. #shorts,"Nov 7, 2021",6,0.0456,0,12,25
T7T-q2LLnwA,윤짜장 vs 이짬뽕?? 중국집에 메뉴 많습니다,"Nov 10, 2021",31,0.1627,0,18,0
THZo5d-wgyc,캠프에 있는 20대분들과 토론하면서 느끼는게.. #shorts,"Nov 5, 2021",5,0.0689,0,7,14.29
TLjNrz1izcU,"[마지막화] 김동연의 이야기, 대변인과 눈물을 쏟은 이유 | 김동연의 미보라 6화 | 김동연TV","Nov 30, 2021",2,0.1211,0,46,4.35
TRSiC7ySoeo,5급 행시 공무원 출신이 공무원 개혁을 외치는 이유 (비하인드),"Oct 28, 2021",132,0.7838,0,1035,4.25
Tq0Ou6o7qKA,100만원? 50조? 미래를 위해 정말 필요한 것은 무엇일까요? #Shorts,"Nov 29, 2021",5,0.0431,0,25,12
UTDk2Q_EpRQ,[LIVE 풀버전] 김동연과 맞짱TALK - 3화 손실보상금 지원 등 코로나 위기 극복 방안,"Dec 27, 2021",7,0.055,0,195,1.03
UegCVTwf3y0,"판잣집 소년가장 출신, 김동연의 원동력은? #shorts","Jan 17, 2022",132,1.2705,0,1177,6.46
V9K2Z4Drc3o,청년대변인 3차 Final 평가 면접영상 전격공개 ‼️ | 김동연TV,"Nov 21, 2021",2,0.0194,0,37,5.41
VTj96xAM2eY,"[청년과의 만남]김동연, 청년의 바다에 빠지다! '경희대학교 학생회 초청 토크콘서트 이모저모'","Dec 15, 2021",4,0.0605,0,83,4.82
W4u6C5a7gPU,모 후보의 '전두환 발언' 에 대한 김동연의 생각,"Oct 22, 2021",52,0.3902,0,292,4.11
WHKLyfmaHtQ,[LIVE 풀버전] 김동연과 맞짱TALK - 2화(21.12.19) #김동연 #새로운물결 #대통령후보,"Dec 20, 2021",4,0.0093,0,115,3.48
X4WzMj6Ew1U,"김동연 대선 2호 공약 : 국가균형발전, 5개의 서울을 만들겠습니다 | 김동연TV","Nov 10, 2021",6,0.2249,0,99,5.05
X_nIgDOeRBY,[대전 방문 일정] 대전에서 지지자들을 만나고 미래를 이야기 했습니다 | 김동연TV,"Nov 1, 2021",1,0.0071,0,19,0
YHUpzhxfnrc,두 후보 모두 재정의 1도 모르고 하는 소리 #shorts,"Nov 16, 2021",14,0.1348,0,50,2
YXJs6RxHIQc,[맞짱TALK 하이라이트] 소상공인 이대로면 다죽는다진짜 아는 '넘' 김동연의 이야기,"Dec 27, 2021",6,0.1657,0,95,5.26
YuT10-CATwc,"신용등급 하락위기, 세계 3대 신용평가사를 만난 김동연의 승부수!","Jan 11, 2022",7,0.2827,0,162,3.09
YvEC5EFXgK8,국가채무비율이 OECD평균보다 낮다고 아무렇게나 돈쓰면 안 되는 이유,"Nov 10, 2021",25,0.2278,0,117,5.98
ZT3evFi1Rr0,[점자의 날 특집] 김동연의 미보라 3화 | 행시 폐지에 대한 오해와 진실 그리고 대한민국에서 시각장애인으로 살아간다는 것 | 김동연TV,"Nov 4, 2021",4,0.0627,0,21,14.29
ZcVK29hCZwU,[메이킹] 청년들과 함께 한 출마선언 영상 제작 비하인드 ‼️ NG모음집 | 김동연TV,"Sep 11, 2021",6,0.1159,0,24,0
ZiPfWZqTTTM,프롬프터..? 그게 뭐죠..? 프롬프터 없이도 합니다 #shorts,"Nov 23, 2021",19,0.2733,0,151,4.64
ZvJtStunZ7Q,"대한민국 미래를 위한 투자, 김동연과의 과학정책 대화","Feb 4, 2022",72,4.9496,0,819,3.17
_DL_Fr0N4Vc,"코스피 1000 붕괴 패닉, 김동연 “끝을 봐야합니다”","Jan 10, 2022",5,0.1995,0,127,3.15
_qlJyR6nUnY,윤석열 대선 슬로건 표절? 베끼기가 '공정과 상식'? | 김종배의 시선집중 하이라이트 | 김동연TV,"Nov 8, 2021",1,0.0134,0,29,0
_t3RL_kq6Gc,김동연이 말하는 세가지 모빌리티 혁명 | MBN 보고대회 축사 | 김동연TV,"Nov 24, 2021",2,0.0728,0,61,1.64
afACbxVZqYQ,찢었다 #Shorts,"Dec 5, 2021",6,0.0162,0,17,11.76
bEyuw74MH94,"김동연 대선예비후보, 광주 5.18 민주묘지에 다녀왔습니다 | 김동연TV","Nov 19, 2021",1,0.0127,0,29,0
bL-4OFAfwfY,[현장스케치] 청주지역 버스기사님 간담회,"Dec 24, 2021",3,0.0659,0,231,1.3
d5v8EfgwlfE,"대한민국 부동산 문제, 과연 해결이 가능한가요? | 청년들이 말하고 김동연이 듣는다! 청년 비(飛)정상회담 02화 '부동산'편","Oct 4, 2021",4,0.5646,0,59,5.08
d6hWkapXkhQ,"수시 vs 정시, 뭐가 더 공정하다고 생각하세요? | 청년들이 말하고 김동연이 듣는다! 청년 비(飛)정상회담 01화 '대입 제도'편","Sep 19, 2021",2,0.0075,0,27,0
d7j5O5n6LGs,천안여고인들의 유쾌한 반란 특별강연  이모저모,"Dec 16, 2021",8,0.1674,0,173,1.73
dR_zcCtp_lU,“이제는 정치판을 바꿔야 할 때” | YTN 이동형의 뉴스! 정면승부 하이라이트 | 김동연TV,"Oct 8, 2021",2,0.0258,0,13,15.38
dsw_m9wdOcc,대통령예비후보 김동연 후원회 개설 | 김동연의 든든한 지원군이 되어주세요,"Sep 15, 2021",8,0.0372,0,19,10.53
dtN1nYzcY_E,[반려동물의 날 특집] 유튜버 초식마녀와 함께한 비건 식사 | 다이너재키 | 김동연tv,"Oct 28, 2021",3,0.0149,0,39,0
duc0JdawfPo,자녀이야기 EP 3. 미국출산편 - 김동연의 부심,"Jan 24, 2022",49,0.9607,0,349,10.03
e3X323p1kbg,윈디캠프 크루에 지원해주신 여러분 감사드립니다,"Oct 23, 2021",7,0.0312,0,47,2.13
eDIRWh2nAow,지금 대선 상황을 요약하자면? #Shorts,"Dec 13, 2021",31,0.0932,0,133,6.77
e_Wz397qums,[풀영상] 서울권대학언론연합회 김동연 초청 간담회 | 김동연TV,"Dec 5, 2021",9,1.6426,0,115,6.96
eeE_uAhJc3k,"김동연 대선후보, 옥소폴리틱스에 본인등판!","Feb 13, 2022",4,0.098,0,0,
eiZJDSCXkwU,김동연 대선 3호 공약 : 교육의 세습주의를 깨겠습니다 | 김동연TV,"Nov 17, 2021",3,0.1989,0,84,2.38
fRZKhN9BjDA,"청년들이 말하고 김동연이 듣는다! 정시 vs 수시, 정시는 과연 공정할까요? #Shorts","Sep 24, 2021",2,0.0102,0,13,15.38
fUe0KfgEYoI,해친 자 누구인가 #Shorts,"Dec 6, 2021",5,0.0606,0,25,4
gI19LGjmzVc,김동연이 진단하는 대한민국의 핵심문제는? |  『대한민국 금기깨기』 북 콘서트 1화,"Sep 7, 2021",7,0.6771,0,63,4.76
gTL15v0ROSA,김동연 대선 1호 공약 : 공무원 철밥통을 깨는 개혁을 하겠습니다 | 공무원 개혁 01 | 김동연tv,"Oct 26, 2021",4,0.0762,0,27,11.11
gma0pK8ibeM,"대한민국 사회의 소득양극화, 부의 불평등이 계속 된다면?","Nov 2, 2021",4,0.029,0,16,6.25
grzpPq1HQCI,김동연이 민주당의 종로 지역구 후보로 나올 수도 있다? #shorts,"Nov 10, 2021",15,0.1101,0,179,5.59
hnOQeyYO28Q,만약 김동연이 '오징어게임' 성기훈이었다면?,"Oct 18, 2021",1,0.0115,0,9,11.11
huXdCYHVPDs,김동연이 말하는 기본소득과 참여소득 |  『대한민국 금기깨기』 북 콘서트 3화 | 김동연tv,"Sep 24, 2021",1,0.4281,0,31,0
i4UVYLZ372s,김동연은 조용한 후보다? 묵묵히 제 길을 가고있습니다.,"Oct 10, 2021",1,0.001,0,9,11.11
i6MYaurbWwM,"옛날로 돌아간다면, 또 공무원 하시겠습니까? #shorts","Nov 7, 2021",7,0.035,0,11,0
ic1Ka7VPv8Y,"25조, 50조 재난지원금? 국가재정을 알면 그런소리 못합니다 #shorts","Nov 10, 2021",10,0.1835,0,5,0
iykDkjdxwHY,김동연 대선 5호 공약 : 권력구조 대개혁 하겠습니다 | 김동연TV,"Nov 30, 2021",11,0.5713,0,520,2.12
j6wFp7BtINE,"""난 잘 몰러유~ 바다 문제는 어부들이 더 잘알지!"" | 서산 어촌마을을 찾은 대통령 예비후보의 리얼 유기농 라이프 《김동연의 어촌일기🐟》 | 김동연TV","Oct 15, 2021",2,0.2655,0,9,0
jR1zgNvIoTo,소녀가장에게 주어지지 않은 것은? 김동연이 받은 손편지의 사연,"Jan 25, 2022",19,0.4888,0,369,2.17
jaq2_3BEc-I,[예고] 김동연-이재명 대선후보 정책토론회 (2월 2일 저녁 6시25분 시작),"Feb 1, 2022",32,0.183,0,1227,1.3
jiYcs7_YhGQ,"다산 정약용, 그 뜻과 길을 따라 강진에 다녀왔습니다 | 김동연TV","Nov 14, 2021",2,0.0135,0,31,3.23
k0J5-wwx3_I,"이재명, 윤석열 후보님, 만납시다! (국민께 드리는 김동연의 지부상소 by 김동연)","Jan 22, 2022",15,0.1272,0,261,3.83
kY-RlKue1Xk,"김동연 먹방 모음집 in 어촌일기 (feat.소라찜, 해물라면) #shorts","Nov 12, 2021",12,0.1292,0,19,10.53
m5yNVUB2jo4,[현장스케치]  광장시장 상인 분들과의 만남,"Dec 23, 2021",5,0.1633,0,211,1.42
n4DacX6f5t8,김동연 대선 1호 공약 : 5급 행정고시를 폐지하겠습니다 | 공무원 개혁 02 | 김동연tv,"Oct 26, 2021",3,0.0203,0,58,5.17
nA-BvlXCAI0,오징어게임 달고나 장인과 이런 인연이..?,"Oct 18, 2021",2,0.0092,0,6,0
