Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
V4-EoI8Ow-8,중요한 것은 정권교체가 아닌 정치세력의 교체입니다 ㅣ 김종배의 시선집중 출연 하이라이트 (2020.07.13.),"Aug 9, 2021",,,,2,0
WFBhsl4iogE,10월 25일 독도의 날 | 독도지킴이 반크(VANK) 여러분들을 만났습니다 | 김동연TV,"Oct 25, 2021",,,,45,0
_iWvT_AOLIA,정의당 당대표실에 예방해 여영국 대표를 만났습니다 | 김동연TV,"Nov 4, 2021",,,,60,0
eLhihJ2sDjw,"정치 변화의 중심 호남, 우리에게는 삼합의 정치가 필요합니다 #shorts","Nov 12, 2021",,,,20,0
eU8o6KSgDCU,대한민국이 직면한 세 가지 문제점은? #Shorts,"Aug 11, 2021",,,,10,0
jBPr1H1-vAs,"[수능특집] 3호 교육 공약 발표,  수능 2번 실시? & 20대 여성이 묻고 김동연이 답하다 | 김동연의 미보라 5화 | 김동연TV","Nov 22, 2021",,,,33,0
l-EF66T84BY,지금 대선 유력후보들은 나쁜남자 시리즈 #shorts,"Oct 8, 2021",,,,2,0
lxElJNtz05Q,"[2022 수능] 수험생 여러분, 수고하셨습니다! 여러분의 꿈과 미래를 응원합니다 | 김동연TV","Nov 17, 2021",,,,74,0
ngGy96ndcQY,"여수 현장실습생 사망사고, 우리 기성세대가 다같이 반성해야","Oct 18, 2021",,,,5,0
qv_-44ezyHA,남양주시 청년몰에 다녀왔습니다! | 이석영 신흥상회 | 김동연TV,"Sep 18, 2021",,,,23,0
rEeF9fBDqj0,현재 대선판에는 미래에 대한 이야기가 없습니다 #shorts,"Sep 28, 2021",,,,5,0
rGHYhcv5UxM,빌거지? 갑통알? 김동연이 풀어보는 2021 신조어 테스트 | 김동연TV,"Oct 6, 2021",,,,33,0
sKgedffteC0,정치 경험 없이는 정치를 할 수 없다?,"Oct 9, 2021",,,,5,0
uwpxiruP8U4,경장 : 묵은 제도를 개혁해 새롭게 한다 | 경장포럼 출범식 축사 | 김동연TV,"Oct 6, 2021",,,,13,0
vz7s7xFN5fg,"김동연의 추석인사 ""희망 잃지 마시고 따뜻한 추석 지내시길 바랍니다."" #Shorts","Sep 20, 2021",,,,7,0
wxGyQtOg5fs,"[수어통역 재업로드] 김동연 제 20대 대통령선거 출마 선언 | 새로운 10년, 조용한 혁명 [4K]","Sep 19, 2021",,,,16,0
xujlzj3zYfU,더불어민주당 당대표실에 예방해 송영길 대표를 만났습니다 | 김동연TV,"Nov 3, 2021",,,,14,0
zMDzT4AHoqA,김동연 대선 1호 공약 : 공공부문 부패 카르텔을 척결하겠습니다 | 공무원 개혁 03 | 김동연tv,"Oct 26, 2021",,,,19,0
zWU-ZfRjsKo,김동연이 제시하는 대한민국의 미래먹거리 |  『대한민국 금기깨기』 북 콘서트 2화 | 김동연tv,"Sep 13, 2021",,,,29,0
